dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
100	99.8	99.8	97.9	99.9	102.2	1.4	2.0	10.2	0
200	199.7	199.7	195.8	199.5	202.0	1.7	4.3	20.5	0
300	300.0	300.0	244.6	290.8	306.4	23.0	40.8	30.8	0
400	399.8	399.8	391.1	398.2	407.6	6.7	26.2	41.0	0
500	499.7	499.7	489.2	496.4	500.1	6.2	44.0	51.2	0
600	537.9	537.9	556.6	576.2	588.5	17.2	86.1	55.2	0
700	696.5	696.5	685.0	692.5	700.1	10.7	55.5	71.4	0
800	602.4	602.4	553.6	654.9	831.5	153.5	388.8	61.8	0
900	160.2	160.2	0.0	161.9	707.6	295.8	643.6	16.3	1.15314586283633
1000	157.1	157.1	0.0	159.8	839.1	298.9	1156.8	15.9	2.7326895418122
