dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
100	99.9	99.9	95.4	99.9	104.8	1.8	4.0	10.2	0
200	197.3	197.3	177.8	197.4	207.1	7.9	36.9	20.2	0
300	299.1	299.1	293.6	299.1	306.4	4.9	31.7	30.7	0
400	379.4	379.4	378.3	393.2	416.5	15.3	102.2	38.9	0
500	494.0	494.0	449.3	487.8	503.3	25.8	184.1	50.7	0
600	144.5	144.5	0.0	147.0	445.3	200.4	595.5	14.6	3.23113451016827
700	148.8	148.8	0.0	151.9	543.0	229.2	368.9	15.2	0.0900810729656691
800	149.7	149.7	0.0	127.7	517.8	209.0	622.7	14.4	18.0916391119509
900	152.8	152.8	0.0	140.3	650.6	251.9	381.6	14.7	17.3020527859238
1000	159.8	159.8	0.0	146.2	656.4	242.4	310.0	15.6	13.1349700192329
