dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
100	66.0	66.0	0.0	60.5	101.8	43.6	2225.9	6.5	9.24186148131964
200	97.7	97.7	0.0	54.6	144.5	55.9	116.0	8.2	81.3565469713457
300	113.7	113.7	0.0	67.5	300.2	101.1	58.3	9.6	73.6111111111111
400	113.9	113.9	0.0	30.9	123.7	44.6	214.2	8.2	276.081233546446
500	106.8	106.8	0.0	26.9	121.6	45.4	193.0	7.6	307.830342577488
600	129.4	129.4	0.0	27.3	121.4	45.2	173.0	9.0	381.231953801732
700	134.3	134.3	0.0	24.7	108.1	43.1	233.6	9.1	472.0823798627
800	136.5	136.5	0.0	23.4	120.6	42.0	224.1	9.2	505.693519079346
900	142.1	142.1	0.0	20.5	100.5	37.0	273.6	9.4	642.390497401633
1000	154.5	154.5	0.0	19.8	118.2	41.6	272.2	10.1	738.222967309304
