dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
100	99.9	99.9	95.7	99.8	102.1	1.2	10.6	10.2	0
200	199.8	199.8	181.8	199.5	217.4	11.0	62.6	20.5	0
300	299.2	299.2	277.7	295.7	327.4	19.2	149.9	30.7	0
400	347.5	347.5	324.3	374.5	404.0	33.8	301.2	35.6	0
500	375.7	375.7	258.5	390.2	587.3	125.6	417.3	38.5	0.452034153691612
600	268.0	268.0	33.4	270.1	480.9	188.9	1037.7	27.3	1.48163182463974
700	397.9	397.9	284.8	456.7	543.1	116.9	326.0	40.8	0
800	561.8	561.8	436.0	648.2	792.9	187.8	131.0	57.6	0
900	273.9	273.9	0.0	266.7	495.0	211.6	1470.9	27.7	3.4875297526648
1000	633.5	633.5	390.1	645.5	1000.0	316.8	292.5	64.8	0.50251256281407
