dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
100	100.0	100.0	97.8	99.9	102.2	1.1	4.7	10.3	0
200	199.9	199.9	194.9	199.5	202.3	2.1	9.1	20.5	0
300	299.5	299.5	291.9	299.0	308.2	6.8	36.5	30.7	0
400	360.8	360.8	337.9	385.9	428.4	33.0	104.7	37.0	0
500	334.5	334.5	70.3	395.4	512.4	183.4	286.6	34.3	0.140196274784699
600	275.9	275.9	0.0	271.8	541.5	238.7	976.9	27.8	4.12328196584756
700	389.0	389.0	0.0	389.4	961.6	394.7	900.0	39.7	1.2555690562981
800	214.0	214.0	0.0	187.7	672.3	250.5	1756.7	20.7	16.3873370577281
900	145.6	145.6	0.0	134.0	668.7	211.4	2779.8	14.2	13.4044000907235
1000	209.9	209.9	0.0	192.7	1009.6	338.9	1282.4	20.4	15.0880423523996
