dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
100	99.9	99.9	95.2	99.9	106.2	2.1	12.4	10.2	0.040016006402561
200	196.6	196.6	179.6	197.5	203.5	6.8	7.8	20.2	0
300	185.0	185.0	0.0	197.2	306.0	140.7	16.3	19.0	0.280786201363819
400	144.8	144.8	0.0	152.1	425.4	199.4	23.5	14.8	0.230530219504861
500	136.3	136.3	0.0	136.4	561.3	214.0	46.5	13.8	3.99334442595674
600	148.0	148.0	0.0	127.0	531.8	206.4	136.5	14.1	20.0768491834774
700	150.4	150.4	0.0	135.4	880.5	281.5	938.9	14.7	12.739571589628
800	150.1	150.1	0.0	112.3	696.8	235.6	790.4	13.7	36.8925393566051
900	153.4	153.4	0.0	108.3	550.9	201.0	459.8	13.5	52.0450053215752
1000	145.8	145.8	0.0	84.4	403.1	153.5	780.4	12.2	80.4077214504781
